,variable,file_format
0,aerosol_optical_thickness_over_water,__GLOB_RESOLUTION_AVW-MODVIR_T865_DAY_00
1,aerosol_optical_thickness_over_water+land,__GLOB_RESOLUTION_AVW-MODVIR_T550_DAY_00
2,cloud_fraction ,__GLOB_RESOLUTION_AV-MODVIR_CF_DAY_00
3,depth_of_the_bottom_of_the_euphotic_layer,__GLOB_RESOLUTION_AVW-MODVIROLAVJ1OLB_ZEU_DAY_00
4,secchi_disk_depth,__GLOB_RESOLUTION_AVW-MODVIR_ZSD-DORON_DAY
5,heated_layer_depth,__GLOB_RESOLUTION_AVW-MODVIR*_ZHL_DAY_00
6,particulate_backscattering_coefficient,__GLOB_RESOLUTION_GSM-MODVIR_BBP_DAY_00
7,coloured_dissolved_detrital_organic_materials_absorption_coefficient,__GLOB_RESOLUTION_GSM-MODVIR_CDM_DAY_00
8,diffuse_attenuation_coefficient,__GLOB_RESOLUTION_AVW-MODVIR_KD490-LEE_DAY_00
9,relative_excess_of_radiance,__GLOB_RESOLUTION_AVW-MODVIR_EL555_DAY_00
10,normalised_remote_sensing_reflectance,__GLOB_RESOLUTION_AVW-MODVIR_NRRS490_DAY_00
11,normalised_fluorescence_line_height,__GLOB_RESOLUTION_AV-MOD_NFLH_DAY_00
12,particulate_organic_carbon,__GLOB_RESOLUTION_AVW-MODVIR_POC_DAY_00
13,particulate_inorganic_carbon,__GLOB_RESOLUTION_AVW-MODVIR_PIC_DAY_00
14,inorganic_suspended_particulate_matter_concentration,__GLOB_RESOLUTION_AVW-MODVIR*_SPM-OC5_DAY_00
15,photosynthetically_available_radiation,__GLOB_RESOLUTION_AVW-MODVIR_PAR_DAY_00
